                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88005,                0.87426,                 1.7729,                0.94742,                      1,                 0.1618,                0.86458,                0.60648,                      1,                 0.1618,                0.86586,                0.67423,                0.94426,                 1.0464,                 2.8639,                0.91901,             0.00065608,             0.00065608,             0.00065608
                      2,                0.77208,                0.69849,                0.96022,                0.90624,                0.97506,                  0.935,                0.98085,                0.67332,                0.97298,                0.93621,                0.98123,                0.78079,                 1.1622,                 1.0381,                 1.2147,                 1.1492,              0.0013097,              0.0013097,              0.0013097
                      3,                0.76241,                 0.7202,                0.77863,                0.91867,                0.95744,                   0.92,                0.96486,                0.65049,                0.95705,                  0.918,                 0.9503,                 0.7466,                 1.1798,                 1.5899,                0.91759,                 1.1974,                0.00195,                0.00195,                0.00195
                      4,                0.77271,                0.70416,                0.67166,                0.91162,                0.94205,                  0.839,                0.91836,                0.61643,                0.94317,                   0.84,                0.91632,                0.69606,                 1.1921,                 1.3705,                0.96938,                 1.1939,              0.0019406,              0.0019406,              0.0019406
                      5,                0.72037,                 0.6912,                0.57107,                0.90133,                0.98187,                  0.961,                0.99083,                0.73091,                0.98187,                  0.961,                0.98463,                0.78934,                0.92836,                 1.0579,                0.63093,                 1.0368,              0.0019208,              0.0019208,              0.0019208
                      6,                0.71813,                0.66199,                0.53697,                0.89876,                 0.9841,                  0.977,                0.99236,                0.66372,                0.98356,                  0.978,                0.99242,                0.78042,                  1.231,                0.99988,                0.62545,                 1.1596,               0.001901,               0.001901,               0.001901
                      7,                0.69673,                0.66572,                0.49559,                0.88672,                0.94544,                  0.971,                0.98534,                 0.6955,                0.94739,                  0.973,                0.98551,                0.77556,                 1.0763,                0.95815,                 0.5815,                 1.0774,              0.0018812,              0.0018812,              0.0018812
                      8,                0.69291,                0.67392,                0.47609,                0.88908,                0.95482,                  0.961,                0.98726,                0.71489,                0.95482,                  0.961,                0.98749,                0.79922,                 1.0504,                 1.1231,                0.54397,                 1.0741,              0.0018614,              0.0018614,              0.0018614
                      9,                0.68596,                0.66415,                0.46735,                0.88367,                0.98395,                0.98118,                0.99297,                0.71606,                0.98496,                0.98218,                0.99299,                0.80216,                 1.1021,                0.93735,                 0.5586,                 1.0912,              0.0018416,              0.0018416,              0.0018416
                     10,                 0.6741,                0.63374,                0.44787,                0.88898,                0.98689,                   0.98,                0.99244,                0.74229,                0.98689,                   0.98,                0.99244,                0.80846,                0.97252,                0.90299,                0.51474,                 1.0329,              0.0018218,              0.0018218,              0.0018218
