                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                0.65754,                0.66145,                0.42884,                0.88122,                0.98718,                  0.981,                  0.994,                 0.7665,                0.98718,                  0.981,                  0.994,                0.82108,                0.94955,                 1.0615,                 0.4757,                 1.0233,               0.001802,               0.001802,               0.001802
                     12,                0.66441,                0.66534,                0.42108,                0.87318,                0.97047,                0.95313,                0.98648,                0.76722,                0.97047,                0.95313,                0.98648,                0.81208,                0.88319,                 1.0309,                0.49246,                 1.0356,              0.0017822,              0.0017822,              0.0017822
                     13,                0.64972,                0.62333,                0.41791,                0.88282,                0.98703,                  0.988,                0.99386,                0.74488,                0.98703,                  0.988,                0.99386,                0.81798,                0.99856,                 0.9158,                0.46858,                 1.0379,              0.0017624,              0.0017624,              0.0017624
                     14,                0.64221,                0.62929,                0.40328,                0.87714,                0.98511,                  0.972,                0.99295,                0.75203,                0.98511,                  0.972,                0.99295,                0.80045,                0.94061,                 1.1198,                0.47335,                 1.0285,              0.0017426,              0.0017426,              0.0017426
                     15,                0.62921,                 0.6356,                0.39386,                0.87346,                0.98605,                0.98931,                0.99358,                0.75163,                0.98704,                0.99031,                0.99375,                0.83566,                 0.9397,                 1.0125,                0.45362,                 1.0025,              0.0017228,              0.0017228,              0.0017228
                     16,                0.62542,                0.63371,                 0.3903,                0.87008,                0.99418,                   0.98,                0.99392,                0.80223,                0.99349,                  0.983,                0.99394,                0.83517,                0.81753,                0.92407,                 0.4471,                0.98002,               0.001703,               0.001703,               0.001703
                     17,                0.61611,                  0.607,                0.38448,                0.86868,                0.99292,                0.98128,                 0.9931,                0.79124,                0.99393,                0.98228,                0.99312,                0.84821,                0.84312,                0.93583,                0.43554,                0.97775,              0.0016832,              0.0016832,              0.0016832
                     18,                0.60227,                 0.6085,                0.37773,                0.87434,                0.99494,                0.98227,                0.99384,                0.81368,                 0.9932,                  0.988,                0.99389,                0.82311,                0.73506,                 1.1812,                0.41135,                0.95464,              0.0016634,              0.0016634,              0.0016634
                     19,                0.63678,                0.63343,                0.38699,                 0.8717,                0.95379,                0.97014,                0.98806,                0.75342,                0.95379,                0.97014,                0.98806,                0.81694,                0.94168,                 1.0031,                0.47423,                 1.0331,              0.0016436,              0.0016436,              0.0016436
                     20,                0.63071,                 0.6296,                0.38448,                0.86982,                 0.9548,                0.97176,                0.98909,                0.74729,                0.95502,                0.97667,                0.98949,                0.80096,                0.97236,                 1.0536,                0.48436,                 1.0253,              0.0016238,              0.0016238,              0.0016238
                     21,                0.59846,                0.58763,                0.37757,                0.86558,                0.98692,                0.98086,                0.99286,                0.78632,                0.98692,                0.98086,                0.99286,                0.83108,                0.81657,                0.92748,                0.43143,                 0.9539,               0.001604,               0.001604,               0.001604
                     22,                0.60833,                0.64557,                0.37978,                 0.8627,                0.96145,                0.94763,                0.98807,                0.80789,                0.96145,                0.94763,                 0.9881,                0.83471,                0.78686,                 1.0857,                0.47568,                0.96475,              0.0015842,              0.0015842,              0.0015842
                     23,                0.58413,                 0.6016,                0.36133,                 0.8611,                0.99339,                  0.991,                0.99397,                0.81168,                0.99339,                  0.991,                0.99397,                0.84399,                0.80008,                0.94026,                0.40778,                0.96672,              0.0015644,              0.0015644,              0.0015644
                     24,                0.59981,                0.61978,                0.35719,                0.86536,                0.98486,                  0.987,                0.99343,                0.78675,                0.98486,                  0.987,                0.99343,                0.84028,                0.88278,                0.93741,                0.40415,                0.99381,              0.0015446,              0.0015446,              0.0015446
                     25,                0.59085,                 0.6214,                0.35614,                0.85879,                0.99107,                  0.988,                0.99371,                0.81102,                0.99107,                  0.988,                0.99371,                 0.8499,                0.85083,                 1.0231,                0.42179,                 0.9883,              0.0015248,              0.0015248,              0.0015248
                     26,                0.57915,                0.61835,                0.34746,                0.85819,                0.98979,                0.96963,                0.99218,                0.80639,                0.98979,                0.96939,                0.99222,                0.84855,                0.81717,                0.93245,                0.45709,                0.96804,               0.001505,               0.001505,               0.001505
                     27,                0.58453,                0.61848,                0.34627,                0.86445,                0.97315,                 0.9785,                0.99284,                 0.8034,                0.98194,                0.97861,                0.99312,                0.84017,                0.83837,                0.89167,                0.44126,                0.96749,              0.0014852,              0.0014852,              0.0014852
                     28,                0.58508,                0.59982,                 0.3488,                0.86177,                0.98736,                  0.968,                0.99173,                 0.8495,                0.98736,                  0.968,                0.99173,                0.83877,                0.65801,                 1.0068,                0.40728,                0.91696,              0.0014654,              0.0014654,              0.0014654
                     29,                0.58861,                0.60714,                0.35142,                 0.8597,                0.98976,                0.96652,                0.99239,                0.83781,                0.98978,                0.96824,                0.99248,                0.85239,                0.69225,                0.90999,                0.40837,                0.92634,              0.0014456,              0.0014456,              0.0014456
                     30,                0.58456,                0.61348,                0.34441,                0.86317,                0.98665,                0.96073,                0.98864,                0.79547,                0.98665,                0.96073,                0.98815,                 0.8328,                0.76649,                 1.0305,                0.43733,                0.96155,              0.0014258,              0.0014258,              0.0014258
                     31,                0.57147,                 0.6222,                0.34179,                 0.8563,                0.99697,                0.98752,                0.99374,                0.83372,                0.99697,                0.98752,                0.99374,                0.85029,                0.73014,                 0.9421,                0.38102,                0.94058,               0.001406,               0.001406,               0.001406
                     32,                0.56817,                 0.6289,                0.33329,                0.85373,                0.98692,                   0.98,                0.99225,                0.81499,                0.98692,                   0.98,                0.99225,                0.85366,                0.77518,                0.93774,                0.40532,                0.93927,              0.0013862,              0.0013862,              0.0013862
                     33,                0.57579,                0.59271,                0.33712,                 0.8569,                0.99609,                  0.982,                0.99388,                0.80657,                0.99609,                  0.982,                0.99388,                0.84691,                0.83387,                0.96742,                0.39871,                 0.9561,              0.0013664,              0.0013664,              0.0013664
                     34,                0.54926,                0.58713,                0.32976,                0.85049,                0.99397,                0.98854,                0.99293,                0.79798,                0.99333,                  0.989,                0.99293,                0.83743,                0.80706,                0.95779,                0.39083,                0.95013,              0.0013466,              0.0013466,              0.0013466
                     35,                0.56815,                0.58458,                0.32577,                0.85337,                0.98899,                0.98783,                0.99375,                 0.8286,                0.98899,                0.98783,                0.99375,                 0.8371,                 0.7269,                  1.118,                0.36313,                0.93268,              0.0013268,              0.0013268,              0.0013268
                     36,                0.55566,                0.59923,                0.33051,                0.85589,                 0.9789,                0.97441,                0.99134,                0.79806,                0.97964,                  0.974,                0.99151,                0.84081,                0.86471,                0.98511,                0.39909,                0.97155,               0.001307,               0.001307,               0.001307
                     37,                0.55211,                0.59295,                0.31608,                0.85125,                0.99189,                0.97815,                0.99249,                0.83056,                0.99189,                0.97815,                0.99249,                0.85368,                0.73509,                 1.0095,                0.39407,                0.93727,              0.0012872,              0.0012872,              0.0012872
                     38,                0.57755,                0.61724,                0.32735,                0.85314,                0.98979,                  0.986,                0.99391,                0.79873,                0.98979,                  0.986,                0.99391,                0.85946,                0.83095,                0.92578,                0.40314,                0.96733,              0.0012674,              0.0012674,              0.0012674
                     39,                0.54778,                0.60316,                0.31344,                0.84936,                0.99396,                0.98716,                 0.9936,                0.84401,                0.99396,                0.98716,                 0.9936,                0.85438,                0.70238,                 1.0316,                0.36924,                0.92948,              0.0012476,              0.0012476,              0.0012476
                     40,                0.55781,                 0.6019,                0.31845,                0.85033,                0.99094,                  0.985,                0.99384,                0.84082,                0.99094,                  0.985,                0.99384,                0.86054,                0.71839,                0.94674,                0.38893,                0.93037,              0.0012278,              0.0012278,              0.0012278
                     41,                0.55222,                 0.6025,                0.31784,                0.85189,                0.99008,                  0.962,                0.98904,                0.83781,                0.98933,                  0.963,                0.99043,                0.85554,                0.71594,                0.90253,                0.43597,                0.94368,               0.001208,               0.001208,               0.001208
                     42,                0.53743,                0.57859,                0.30886,                0.84884,                0.99386,                0.97119,                0.99201,                0.81744,                0.99386,                0.97119,                0.98996,                0.84778,                0.76079,                 1.0037,                0.41494,                0.95699,              0.0011882,              0.0011882,              0.0011882
                     43,                0.56589,                0.60429,                0.32332,                0.85361,                0.99294,                0.98483,                0.99392,                0.84887,                0.99294,                0.98483,                0.99392,                0.85733,                0.69993,                 1.0325,                0.37762,                0.92812,              0.0011684,              0.0011684,              0.0011684
                     44,                0.54853,                0.55964,                0.31626,                0.84625,                0.99095,                0.98552,                 0.9935,                0.82621,                0.99095,                0.98552,                 0.9935,                0.85527,                0.73705,                0.95529,                0.39158,                0.93418,              0.0011486,              0.0011486,              0.0011486
                     45,                0.54584,                0.58728,                0.31542,                0.85226,                0.99167,                  0.977,                0.99321,                0.84824,                0.99167,                  0.977,                0.99321,                0.85271,                0.66286,                0.96127,                0.39482,                0.91388,              0.0011288,              0.0011288,              0.0011288
                     46,                0.53532,                0.58953,                0.30645,                0.84392,                0.98692,                0.98094,                0.99343,                0.85309,                0.98692,                0.98094,                0.99343,                 0.8523,                 0.6565,                  1.043,                0.37732,                0.89985,               0.001109,               0.001109,               0.001109
                     47,                0.54639,                 0.5993,                0.31856,                0.84647,                0.99497,                0.98931,                0.99396,                0.83367,                0.99497,                0.98931,                0.99396,                0.86274,                0.74675,                0.93785,                0.40591,                0.93071,              0.0010892,              0.0010892,              0.0010892
                     48,                0.53215,                 0.5681,                0.30355,                 0.8449,                0.98992,                0.98232,                0.99368,                0.81557,                0.98992,                0.98232,                0.99368,                0.84729,                0.76166,                 1.0355,                0.38107,                0.93485,              0.0010694,              0.0010694,              0.0010694
                     49,                0.53378,                0.56412,                 0.2989,                  0.842,                0.98691,                0.97979,                0.99311,                0.84148,                0.98791,                0.98064,                0.99324,                0.85818,                0.72224,                0.90034,                0.38144,                 0.9292,              0.0010496,              0.0010496,              0.0010496
                     50,                0.51764,                0.58397,                0.28642,                0.84496,                0.99253,                  0.966,                0.99041,                  0.836,                0.99253,                  0.966,                0.99041,                0.85272,                0.72613,                0.99287,                0.41733,                0.92688,              0.0010298,              0.0010298,              0.0010298
                     51,                0.53116,                0.58649,                0.29848,                0.84688,                0.98906,                  0.958,                0.98936,                0.80809,                0.98906,                  0.958,                0.99073,                0.85392,                0.79452,                0.89176,                0.42518,                0.97272,                0.00101,                0.00101,                0.00101
                     52,                0.51973,                0.58128,                0.29152,                0.83849,                0.99294,                  0.985,                0.99364,                0.84236,                0.99294,                  0.985,                0.99364,                0.86081,                0.67959,                0.94466,                0.35416,                0.92214,              0.0009902,              0.0009902,              0.0009902
                     53,                0.53428,                0.59007,                0.30438,                0.84873,                0.99394,                0.98417,                0.99352,                0.85977,                0.99394,                0.98417,                0.99352,                0.86282,                0.65276,                0.93325,                0.36216,                0.90166,              0.0009704,              0.0009704,              0.0009704
                     54,                 0.5395,                0.57386,                0.30168,                0.84976,                0.99415,                  0.987,                0.99365,                0.85374,                0.99415,                  0.987,                0.99365,                0.85061,                0.63441,                 1.0639,                0.33772,                0.91194,              0.0009506,              0.0009506,              0.0009506
                     55,                0.52938,                0.57994,                0.29356,                0.84793,                0.98482,                0.97329,                0.99275,                0.84017,                0.98482,                0.97329,                0.99275,                0.85591,                0.70666,                0.95652,                0.38947,                0.91927,              0.0009308,              0.0009308,              0.0009308
                     56,                0.52005,                0.56003,                0.29235,                0.84393,                0.99493,                0.98076,                0.99376,                0.81733,                0.99493,                0.98076,                0.99376,                 0.8556,                0.78768,                0.97887,                0.38119,                0.93639,               0.000911,               0.000911,               0.000911
                     57,                0.51757,                0.56481,                0.29563,                0.84046,                0.99475,                  0.983,                0.99362,                 0.8531,                0.99475,                  0.983,                0.99374,                0.85258,                0.64952,                 1.1141,                0.34931,                0.89999,              0.0008912,              0.0008912,              0.0008912
                     58,                0.50852,                0.56725,                 0.2824,                0.84184,                0.99383,                0.96587,                0.99267,                 0.8248,                0.99383,                0.96587,                0.99267,                0.85782,                 0.7087,                0.91919,                0.38445,                0.91826,              0.0008714,              0.0008714,              0.0008714
                     59,                0.51647,                0.56882,                0.29379,                0.84307,                0.97991,                 0.9755,                0.99294,                 0.8285,                0.97991,                 0.9755,                0.99294,                0.85732,                0.72626,                 0.8877,                0.38262,                0.91947,              0.0008516,              0.0008516,              0.0008516
                     60,                0.51785,                0.57788,                 0.2918,                0.84256,                0.98894,                0.98368,                0.99333,                 0.8454,                0.98894,                0.98368,                0.99274,                0.86122,                 0.6502,                0.91179,                0.36016,                0.90242,              0.0008318,              0.0008318,              0.0008318
                     61,                0.51317,                0.58704,                0.28253,                0.84238,                0.98695,                0.98328,                0.99334,                 0.8304,                0.98695,                0.98328,                0.99341,                0.86661,                0.73616,                0.85666,                0.37233,                0.93186,               0.000812,               0.000812,               0.000812
                     62,                0.51289,                0.57054,                0.28014,                0.84149,                0.99167,                  0.969,                0.99218,                0.83702,                0.99167,                  0.969,                0.99218,                0.86242,                0.72071,                0.96248,                 0.3959,                0.92381,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.5162,                0.53931,                0.28584,                0.83773,                0.99179,                  0.985,                0.99394,                0.85054,                0.99179,                  0.985,                0.99394,                0.86229,                0.67756,                 1.0564,                0.35286,                0.90429,              0.0007724,              0.0007724,              0.0007724
                     64,                0.50442,                0.57745,                0.27865,                0.83587,                0.99342,                  0.984,                0.99406,                0.83019,                0.99342,                  0.984,                0.99406,                0.85869,                0.71835,                0.94548,                0.37246,                 0.9199,              0.0007526,              0.0007526,              0.0007526
                     65,                0.50156,                0.57658,                0.27118,                0.83693,                0.99489,                 0.9738,                0.99313,                0.82373,                0.99489,                 0.9738,                0.99313,                0.85086,                0.72859,                0.97899,                0.37993,                0.91893,              0.0007328,              0.0007328,              0.0007328
                     66,                0.50344,                0.56161,                0.27076,                0.84172,                0.99357,                  0.978,                0.99367,                0.86039,                0.99357,                  0.978,                0.99367,                0.86394,                 0.6366,                0.95601,                0.36316,                0.90225,               0.000713,               0.000713,               0.000713
                     67,                0.50918,                0.54416,                0.27721,                 0.8436,                0.99584,                0.95776,                 0.9931,                0.86258,                 0.9948,                0.95676,                0.99193,                0.84553,                0.60388,                 1.0679,                0.44421,                0.88979,              0.0006932,              0.0006932,              0.0006932
                     68,                0.49932,                 0.5385,                0.27336,                0.83911,                 0.9969,                0.96371,                0.99298,                0.84566,                 0.9969,                0.96371,                0.99298,                0.86806,                0.66081,                0.95468,                0.40421,                0.90009,              0.0006734,              0.0006734,              0.0006734
                     69,                0.50166,                0.56292,                0.27341,                 0.8428,                 0.9929,                0.97936,                 0.9933,                0.83337,                 0.9929,                0.97936,                 0.9933,                0.86511,                0.72314,                0.98473,                0.37895,                0.91834,              0.0006536,              0.0006536,              0.0006536
                     70,                0.48915,                0.53344,                0.26709,                0.84234,                0.98676,                  0.986,                0.99365,                0.86157,                0.98676,                  0.986,                0.99365,                0.85354,                 0.6508,                 1.1692,                0.32584,                0.90538,              0.0006338,              0.0006338,              0.0006338
                     71,                0.49994,                0.56016,                0.26481,                0.84141,                0.99093,                0.98353,                0.99331,                0.84106,                0.99093,                0.98353,                0.99331,                0.84355,                0.66149,                 1.1236,                0.33908,                0.89774,               0.000614,               0.000614,               0.000614
                     72,                0.49501,                0.57031,                0.26625,                0.84061,                0.99687,                0.95554,                0.98814,                0.83794,                0.99687,                0.95554,                0.98814,                0.86451,                0.70797,                0.95413,                0.43011,                0.91834,              0.0005942,              0.0005942,              0.0005942
                     73,                0.48957,                 0.5651,                0.26498,                0.83922,                0.99343,                  0.987,                0.99396,                0.86866,                0.99343,                  0.987,                0.99396,                0.86494,                0.60123,                 1.1058,                 0.3205,                0.88245,              0.0005744,              0.0005744,              0.0005744
                     74,                0.48935,                0.56186,                0.27021,                0.83393,                0.99388,                0.97449,                0.99345,                0.84837,                0.99388,                0.97449,                0.99345,                0.86306,                0.65294,                 1.0037,                0.36616,                0.89451,              0.0005546,              0.0005546,              0.0005546
                     75,                0.48594,                0.53699,                0.26119,                0.84073,                0.99078,                0.96746,                0.99192,                0.84635,                0.99078,                0.96746,                 0.9928,                  0.861,                0.66738,                0.99845,                0.35924,                0.90049,              0.0005348,              0.0005348,              0.0005348
                     76,                0.47458,                 0.5733,                0.25812,                0.83088,                0.98568,                  0.972,                0.99201,                0.85758,                0.98568,                  0.972,                0.99201,                0.85653,                0.61177,                0.95367,                0.35238,                 0.8911,               0.000515,               0.000515,               0.000515
                     77,                0.51313,                0.56103,                0.27652,                0.84256,                0.99174,                 0.9606,                0.98883,                0.84047,                0.99174,                 0.9606,                0.98883,                0.86095,                0.67447,                0.94388,                0.40633,                0.90522,              0.0004952,              0.0004952,              0.0004952
                     78,                0.49023,                0.55369,                0.26175,                0.84079,                0.98962,                  0.965,                0.99127,                0.83656,                0.98962,                  0.965,                0.99127,                 0.8567,                0.69231,                0.99137,                0.38558,                0.90347,              0.0004754,              0.0004754,              0.0004754
                     79,                0.49416,                0.54739,                0.25827,                0.83385,                0.98981,                0.97157,                0.99258,                0.84242,                0.98981,                0.97157,                0.99258,                0.86386,                0.66857,                0.99031,                0.36104,                 0.9058,              0.0004556,              0.0004556,              0.0004556
                     80,                0.47493,                0.53261,                0.25403,                0.83155,                 0.9942,                  0.969,                0.99004,                0.83885,                 0.9942,                  0.969,                0.99004,                0.86138,                0.65559,                0.99407,                0.37671,                0.89662,              0.0004358,              0.0004358,              0.0004358
                     81,                0.46869,                0.54581,                0.24868,                0.83032,                0.99792,                0.95781,                0.98497,                0.82958,                0.99792,                0.95781,                0.98497,                0.85079,                0.66039,                0.99413,                0.40416,                0.89906,               0.000416,               0.000416,               0.000416
                     82,                0.48125,                0.51668,                0.24927,                0.83461,                0.98773,                0.96599,                 0.9889,                0.83927,                0.98773,                0.96599,                 0.9889,                 0.8502,                0.64964,                  1.025,                0.37253,                0.89186,              0.0003962,              0.0003962,              0.0003962
                     83,                0.46501,                0.55917,                0.24834,                0.83506,                0.99671,                  0.969,                0.99372,                0.85708,                0.99671,                  0.969,                0.99372,                0.86602,                0.63706,                 1.0212,                0.36429,                0.89205,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.4722,                0.53765,                0.24752,                0.83206,                0.99856,                  0.977,                0.99366,                 0.8407,                0.99856,                  0.977,                0.99366,                0.86148,                0.68656,                 1.0369,                0.36144,                0.91639,              0.0003566,              0.0003566,              0.0003566
                     85,                0.48035,                0.55034,                0.25481,                 0.8404,                0.99391,                  0.985,                 0.9938,                0.85932,                0.99391,                  0.985,                 0.9938,                0.86736,                0.64492,                0.93609,                 0.3374,                0.90504,              0.0003368,              0.0003368,              0.0003368
                     86,                0.46971,                0.52289,                0.24573,                0.83063,                0.99294,                0.98484,                0.99384,                0.83333,                0.99294,                0.98484,                0.99384,                0.86289,                0.71975,                 1.0189,                0.35086,                0.91795,               0.000317,               0.000317,               0.000317
                     87,                0.46065,                 0.5148,                0.24373,                0.82978,                0.99694,                0.97671,                0.99364,                0.86033,                0.99694,                0.97671,                0.99364,                0.85692,                0.63605,                 1.1437,                0.34059,                0.88976,              0.0002972,              0.0002972,              0.0002972
                     88,                0.46362,                0.51646,                0.24326,                0.83428,                0.99391,                0.97925,                 0.9937,                0.86788,                0.99391,                0.97925,                 0.9937,                0.85789,                0.60653,                 1.1832,                0.32427,                 0.8827,              0.0002774,              0.0002774,              0.0002774
                     89,                0.46636,                0.53609,                0.23685,                0.82956,                0.99592,                0.97521,                0.99199,                0.84205,                0.99592,                0.97521,                0.99199,                0.86095,                0.69643,                 1.0377,                0.35635,                0.90966,              0.0002576,              0.0002576,              0.0002576
                     90,                0.46059,                0.54067,                0.23349,                0.82786,                0.99795,                0.97289,                0.99176,                0.83447,                0.99795,                0.97289,                0.99176,                0.85729,                0.70283,                0.97297,                0.35649,                0.91396,              0.0002378,              0.0002378,              0.0002378
                     91,                 0.4323,                0.52207,                0.21106,                0.81125,                0.99492,                 0.9794,                0.99206,                0.84322,                0.99492,                 0.9794,                0.99206,                0.85993,                0.67299,                0.94759,                0.34636,                0.90264,               0.000218,               0.000218,               0.000218
                     92,                 0.4356,                0.51761,                 0.2123,                0.81726,                0.99287,                0.97533,                0.98978,                0.83157,                0.99287,                0.97533,                0.98978,                0.85798,                0.69014,                0.95316,                0.35222,                0.90366,              0.0001982,              0.0001982,              0.0001982
                     93,                0.43033,                0.50838,                0.21127,                0.81143,                0.99266,                  0.972,                0.98947,                0.84476,                0.99266,                  0.972,                0.98947,                0.85329,                0.65421,                 1.0293,                0.35571,                0.90099,              0.0001784,              0.0001784,              0.0001784
                     94,                0.42988,                0.51742,                 0.2073,                0.80755,                0.99086,                0.97537,                0.99046,                0.85076,                0.99086,                0.97537,                0.99046,                0.85472,                0.62922,                 1.0375,                0.33881,                0.88974,              0.0001586,              0.0001586,              0.0001586
                     95,                0.42397,                0.50544,                 0.2066,                0.80619,                0.99287,                0.97465,                0.99084,                0.84337,                0.99287,                0.97465,                0.99237,                0.85573,                0.64921,                 1.0412,                0.34915,                0.89387,              0.0001388,              0.0001388,              0.0001388
                     96,                0.42111,                0.51486,                0.20592,                0.81361,                0.99386,                0.97145,                0.99018,                0.84835,                0.99386,                0.97145,                0.99076,                0.86323,                0.64333,                0.94456,                0.35146,                 0.8948,               0.000119,               0.000119,               0.000119
                     97,                0.41732,                0.51178,                 0.2045,                0.81487,                0.99618,                  0.964,                0.98962,                0.84323,                0.99618,                  0.964,                0.98962,                0.85886,                0.66567,                 0.9701,                0.36633,                0.89846,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.41632,                0.50012,                 0.1992,                0.81181,                0.99793,                 0.9649,                0.98968,                0.84596,                0.99793,                 0.9649,                0.98968,                 0.8601,                0.64288,                0.99423,                0.36041,                0.89113,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.41323,                0.50272,                0.19579,                0.81817,                0.99691,                  0.967,                0.99049,                0.84765,                0.99691,                  0.967,                0.99049,                0.86347,                0.64985,                0.98179,                0.35417,                0.89403,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.40813,                0.49974,                0.19505,                0.81647,                0.99692,                0.97184,                0.99115,                0.84843,                0.99692,                0.97184,                0.99115,                0.86487,                0.64718,                0.97169,                0.34537,                0.89219,               3.98e-05,               3.98e-05,               3.98e-05
