                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2475,                 1.3593,                 1.3721,                 1.2675,                0.81338,                   0.86,                0.89108,                0.41848,                0.78879,                  0.834,                0.86221,                0.40692,                 1.6208,                  3.687,                 1.1238,                 1.7018,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.2663,                 1.3737,                 1.4625,                 1.2808,                0.82805,                  0.838,                0.88984,                0.38498,                0.83165,                  0.845,                0.89483,                0.42922,                 1.9094,                 3.3096,                 1.1097,                 2.0218,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.2767,                 1.3826,                 1.4018,                 1.2906,                0.87305,                  0.885,                0.91196,                0.40066,                0.88261,                0.89469,                0.93245,                0.46808,                 1.9219,                 3.0472,                  1.044,                 2.0661,               0.001505,               0.001505,               0.001505
                     27,                 1.2322,                 1.3496,                 1.3625,                 1.2642,                0.84489,                  0.874,                0.92866,                0.47218,                0.81899,                  0.843,                0.89135,                0.41315,                 1.3924,                 2.9943,                 1.1005,                 1.5204,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.2457,                  1.359,                 1.3624,                 1.2555,                 0.8227,                  0.836,                0.90468,                0.43142,                 0.8202,                  0.825,                0.89665,                0.45253,                 1.6643,                 2.8724,                 1.0786,                 1.8488,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.2411,                 1.3924,                 1.3281,                 1.2482,                0.89253,                  0.922,                0.94358,                0.47407,                0.88091,                   0.91,                0.93213,                0.45503,                 1.5045,                 3.3165,                  1.064,                 1.6521,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.2191,                 1.3319,                 1.3309,                 1.2555,                 0.9062,                  0.899,                0.95196,                0.47786,                0.88906,                  0.882,                0.93672,                 0.4649,                 1.6605,                 3.0749,                 1.0393,                 1.7979,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.2007,                 1.3296,                 1.3026,                 1.2318,                0.89099,                0.88272,                0.91205,                0.37927,                0.88701,                0.88709,                0.92213,                0.44687,                 1.9133,                 3.0491,                  1.064,                 2.0702,               0.001406,               0.001406,               0.001406
                     32,                 1.2232,                 1.3251,                 1.3166,                 1.2556,                0.90839,                0.93206,                0.95221,                0.47185,                0.89572,                0.91906,                0.94601,                0.45384,                 1.6964,                 3.3241,                0.99335,                 1.8575,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.1951,                 1.3512,                 1.2447,                 1.2062,                0.89796,                  0.896,                0.94847,                0.48173,                0.88579,                  0.881,                0.93148,                0.46789,                 1.5256,                 3.3302,                 1.0221,                 1.6507,              0.0013664,              0.0013664,              0.0013664
